DireKrow
Halo 3 - One Final Effort
The Legend of Zelda - Title
Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato
Deltarune - Rude Buster
Mighty Switch Force! - Love You Love You Love
Atelier Ayesha - Invitation Flower ~ Autumn
Fire Emblem: Awakening - Id ~ Purpose
jubeat saucer fulfill - Scars of FAUNA
Persona 3 - Memories of You
Terraria Calamity - Scourge of the Universe
Gahkthun of the Golden Lightning - Tonitrus
"Atelier Shallie - Flying Clouds, Drifting Haze"
Raiden V - Apostle's Maraud
Flywrench - King Noah
Sound Voltex III - Preserved Valkyria
Blue Reflection - TIGAR (All Phase Mix)
Dariusburst - The world of spirit
Undertale - ASGORE
Ar tonelico III - EXEC_Z/.
Phantasy Star Online 2 - GUERRANT-OFENZA-SUPRONT-UNNE
Atelier Rorona Plus - Flash Frost
Persona 5 - Blooming Villain
REFLEC BEAT The Reflesia of Eternity - Kanata no Rafflesia
Shovel Knight - Strike the Earth
Pokemon Sword and Shield - Battle Tower
Granblue Fantasy Versus - Wings of Terror Phase 2
Umineko no Naku Koro ni 1 - goldenslaughterer
Guild Wars 2 - Fear Not This Night
Metal Gear Solid 3 - Snake Eater
Ar Nosurge - Hidra Heteromycin
Spark the Electric Jester - Megaraph Fleet
Project Cerberus - L L ~Infinite Beating ver~
Romancing SaGa: Minstrel Song - Battle With Saruin
Ar nosurge - Class::EXPAJA
Indivisible - Eulogia
Atelier Ayesha - Slag Dance
Touhou 4: Lotus Land Story - Faint Dream ~ Inanimate Dream
Opoona - Partizans
Rivals of Aether - Luna Ascension EX (aka OST 7)
Phantasy Star Online Episode III - IDOLA The Strange Fruits
Rewrite - Beyond the Darkness
Pinball Fantasies - steelchambers2
Atelier Escha & Logy: Alchemists of the Dusk Sky - Sky of Twilight
DoDonPachi DaiFukkatsu Black Label - Flotage (Stage3-B)
Granblue Fantasy - New World Order
Idola Phantasy Star Saga - Endeavour
War of Brains - FEEL the POWER in YOUR SOUL
Beatmania IIDX 21 Spada - Dark Legacy
Chaos;Head - Desire Blue Sky
"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke"
Persona 5 - Rivers in the Desert
Celeste - Confronting Myself
Drift Stage - Zadok
GITADORA OverDrive - Douwa Kairou
Lanota - Frey's Philosophy
Kirby Triple Deluxe - Moonstruck Blossom
Ginga Force - Zenith
Hoi AGA - Level 5: Main Theme
Astral Chain - Jena Anderson
Celeste - Mirror Temple (Mirror Magic Mix)
Einhander - Thermosphere
Nostalgia Op.2 - Bad End Syndrome
Blade Ballet - Bitbop
Granado Espada - Rapal
Terraria Calamity - The Filthy Mind (Theme of the Hive Mind)
Skeleton Boomerang - Disco Necropolis
Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche
YAS - Battle YAS 2
Steins;Gate - Skyclad Observer
Billy Hatcher and the Giant Egg - Chant This Charm
Yakuza 0 - Two Dragons
