DireKrow
Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI)
Pokémon Gold and Silver - National Park
Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia
Rose Gun Days - linkage-alter
Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness
Tales of Vesperia - Fury Sparks
Risk of Rain 2 - The Rain Formerly Known As Purple
Etrian Odyssey III: The Drowned City - Labyrinth VI - The Vengeful God in the Dark Ocean Abyss
Mad Rat Dead - Heartless Being
100% Orange Juice - Dear Dragon (Theme of Sweet Breaker)
Looney Tunes: Sheep Raider - Track 7
Unreal Tournament - Foregone Destruction
GITADORA - Nekozamurai no Gyakushuu
Seraphic Blue - Obstacle
Terraria Calamity - Roar of the Jungle Dragon
NieR: Automata - Weight of the World / English Version
LSD: Dream Emulator - Professional Problem
Mekazoo - Avian Animosity
Snatcher (PC Engine CD) - One Night in Neo Kobe City
Super Mario Odyssey - Steam Gardens
Xenoblade Chronicles: Definitive Edition - Fogbeasts
Panzer Dragoon Orta - Altered Genos
Let It Die - Let It Die ~ NOTHING TO DECLARE
Ys IX: Monstrum Nox - Glessing Way!
The Legend of Heroes: Ao no Kiseki - Inevitable Struggle -Super Arrange Ver.-
God Eater 2 - The Butterfly's Temptation
Cladun: This is an RPG - The Explosion
The Caligula Effect: Overdose - Cradle
VVVVVV - Pressure Cooker
Umineko no Naku Koro ni Saku - Kasaneawase no Nekobako
Phantasy Star Online 2 - Ice-covered Love ~ Kohri
No More Heroes 2: Desperate Struggle - Subuta.1
Etrian Odyssey III: The Drowned City - Unrest - The End of the Raging Waves
A Hat in Time: Seal the Deal - Collapsing Rift
Coded Soul - Monolith Gate
Wheels of Aurelia - Wheels of Aurelia
The Legend of Heroes: Trails in the Sky the 3rd - Dreamy and Boisterous Holy Land
Mad Rat Dead - Neuchatel
No More Heroes 2: Desperate Struggle - It's Kill or Be Killed ~ Destroy Resort
Super Void - To the Center of the Supervoid
Dicey Dungeons - Fortune Favours The Bold
Pokémon Super Mystery Dungeon - Gentle Slope Cave
Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka? 2 - BWLAUTE BEIRRD
Gurumin: A Monstrous Adventure - Sight of Silence
Atelier Shallie: Alchemists of the Dusk Sea - Octopunch
Sonic Heroes - Bingo Highway
NieR Re[in]carnation - Ikou (Authority)
Fire Emblem: Three Houses - Apex of the World (Rain)
Raiden V - Unknown Pollution
Ciel nosurge - QuelI->EX[cez]->{kranz};
Contra: Hard Corps - GTR Attack!
Civilization VI - Sogno di Volare (The Dream of Flight)
The Legend of Heroes: Trails in the Sky SC - Fateful Confrontation
Teito Hiten Daisakusen - Onegonjou
Octopath Traveler - Battle at Journey's End (Tressa)
War of Brains - Immanence
100% Orange Juice - Prairie4 (Theme of Alicianrone)
Atelier Shallie: Alchemists of the Dusk Sea - Stella -Part 2-
Eschatos - POINT OF NO RETURN
The Legend of Zelda: Spirit Tracks - Full Steam Ahead
Suikoden IV - La Mer
Alan Wake’s American Nightmare - Balance Slays the Demon
Final Fantasy XIV: Shadowbringers - Return to Oblivion
Tree of Savior - Dienos Advento
Chrono Trigger - Chrono Trigger
"Monster Train - Seraph, the Traitor"
Gahkthun of the Golden Lightning - Tonitrus
Umineko no Naku Koro ni - rhythm-changer
Danganronpa 2: Goodbye Despair - Kill Command
Timespinner - Pioneer's Horizon
Ys III: Wanderers From Ys (PC Engine CD) - Valestein Castle
Utawarerumono: Prelude to the Fallen (PS4) - Kimi ga Tame Re:boot
Aurora Memoria - Philosophical Data Session: 2093 - DigiFamily
Atelier Ayesha: The Alchemist of Dusk - MARIA
