ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,_LouieG_,-hotdogturtle--,Akkrillic,Arti,azuarc,banananor,banshiryuu,barreldragon88,bebr117,bwburke94,cakophon,Chaeix,Collen,DeadTaffer,DireKrow,Disillusion,DoctorJimmy133,DoctorJugaJuga,dowolf,FFDragon,FL81,Flamander,GameBopAdv,golden009,greengravy294,HasteDeux,HBJDubs,Hbthebattle,HidekuniHorita,Isquen,Janus5k,JONALEON1,kamakazikila,KamikazePotato,kaonashi1,KCF0107,KidDivinegon,Lightning Strikes,LkProd,loweffortmemes,Mac Arrowny,MargaretAnnMid,Mega Mana,Mihark,MoonRunes,Mr Lasastryke,MZero,NeatoAnAccount,neothewoodman,NFUN,Nuggy,PabloSmith,Paratroopa1,PIayer_0,Place,Plasman,Pokewars,Prince46,Prody Parrot,pyresword,quantumB,R-Man,Raetsel_Lapin,RevolverAxolot,rwlh,savageshark21,Sceptilesolar,sergiocornaga,ShouldIBe,skulltrumpets,slykirby,Snajed,Snake5555555555,SpikeSetsFire,tazzyboyishere,Team Rocket Elite,tennisboy213,tgs2,th3l3fty,The_Botector,TheArkOfTurus,Tked,Tom Nook,Toxtricity,trdl23,UF8,UltimaterializerX,Xarnax42,xp1337,Xuxon,xx521xx,yhenestik,ZelRaat,Zigzagoon
1,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),31,43,74,12,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Mr. Bones - The First Thing,,,Mr. Bones - The First Thing,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,,,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Mr. Bones - The First Thing,Mr. Bones - The First Thing,Mr. Bones - The First Thing,Mr. Bones - The First Thing,,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Mr. Bones - The First Thing,Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),Mr. Bones - The First Thing,Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI),
2,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",44,29,73,15,Pokémon Gold and Silver - National Park,,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,,,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,,,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,Pokémon Gold and Silver - National Park,,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",Pokémon Gold and Silver - National Park,,Pokémon Gold and Silver - National Park,"Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke","Touhou 14.5: Urban Legend in Limbo - Reach for the Moon, Immortal Smoke",
3,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,48,26,74,22,Final Fantasy VII Remake - Collapsed Expressway,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,,Final Fantasy VII Remake - Collapsed Expressway,Fire Emblem Echoes: Shadows of Valentia - The Heritors of Arcadia,,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,Final Fantasy VII Remake - Collapsed Expressway,
4,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,22,48,70,26,Rose Gun Days - linkage-alter,,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,,,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,,,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,,,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,,,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Mighty Switch Force! 2 - Soft Collision,Mighty Switch Force! 2 - Soft Collision,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,Rose Gun Days - linkage-alter,,,Rose Gun Days - linkage-alter,,Rose Gun Days - linkage-alter,,,
5,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,49,20,69,29,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Mega Man 11 - Fuse Man Stage,,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,,,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Mega Man 11 - Fuse Man Stage,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness,,,Mega Man 11 - Fuse Man Stage,,Mega Man 11 - Fuse Man Stage,,,
6,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,37,33,70,4,Kaze no Notam - Discovery,,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,,,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,,,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,,,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,,,,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,Kaze no Notam - Discovery,Kaze no Notam - Discovery,,Kaze no Notam - Discovery,Tales of Vesperia - Fury Sparks,Kaze no Notam - Discovery,,,Tales of Vesperia - Fury Sparks,,Tales of Vesperia - Fury Sparks,,,
7,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,49,20,69,29,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,,Drakengard - Twelfth Chapter ~ In the Sky,Drakengard - Twelfth Chapter ~ In the Sky,Drakengard - Twelfth Chapter ~ In the Sky,,,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,,,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,,Drakengard - Twelfth Chapter ~ In the Sky,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,,,Risk of Rain 2 - The Rain Formerly Known As Purple,,Risk of Rain 2 - The Rain Formerly Known As Purple,Risk of Rain 2 - The Rain Formerly Known As Purple,Drakengard - Twelfth Chapter ~ In the Sky,
